date,areaType,areaCode,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
"2021-04-06",utla,E06000023,"Bristol, City of",30569,1
"2021-04-05",utla,E06000023,"Bristol, City of",30568,16
"2021-04-04",utla,E06000023,"Bristol, City of",30552,5
"2021-04-03",utla,E06000023,"Bristol, City of",30547,10
"2021-04-02",utla,E06000023,"Bristol, City of",30537,9
"2021-04-01",utla,E06000023,"Bristol, City of",30528,10
"2021-03-31",utla,E06000023,"Bristol, City of",30518,19
"2021-03-30",utla,E06000023,"Bristol, City of",30499,25
"2021-03-29",utla,E06000023,"Bristol, City of",30474,22
"2021-03-28",utla,E06000023,"Bristol, City of",30452,26
"2021-03-27",utla,E06000023,"Bristol, City of",30426,14
"2021-03-26",utla,E06000023,"Bristol, City of",30412,25
"2021-03-25",utla,E06000023,"Bristol, City of",30387,43
"2021-03-24",utla,E06000023,"Bristol, City of",30344,48
"2021-03-23",utla,E06000023,"Bristol, City of",30296,31
"2021-03-22",utla,E06000023,"Bristol, City of",30265,48
"2021-03-21",utla,E06000023,"Bristol, City of",30217,18
"2021-03-20",utla,E06000023,"Bristol, City of",30199,26
"2021-03-19",utla,E06000023,"Bristol, City of",30173,31
"2021-03-18",utla,E06000023,"Bristol, City of",30142,39
"2021-03-17",utla,E06000023,"Bristol, City of",30103,41
"2021-03-16",utla,E06000023,"Bristol, City of",30062,36
"2021-03-15",utla,E06000023,"Bristol, City of",30026,37
"2021-03-14",utla,E06000023,"Bristol, City of",29989,34
"2021-03-13",utla,E06000023,"Bristol, City of",29955,15
"2021-03-12",utla,E06000023,"Bristol, City of",29940,36
"2021-03-11",utla,E06000023,"Bristol, City of",29904,18
"2021-03-10",utla,E06000023,"Bristol, City of",29886,23
"2021-03-09",utla,E06000023,"Bristol, City of",29863,32
"2021-03-08",utla,E06000023,"Bristol, City of",29831,46
"2021-03-07",utla,E06000023,"Bristol, City of",29785,29
"2021-03-06",utla,E06000023,"Bristol, City of",29756,32
"2021-03-05",utla,E06000023,"Bristol, City of",29724,29
"2021-03-04",utla,E06000023,"Bristol, City of",29695,34
"2021-03-03",utla,E06000023,"Bristol, City of",29661,33
"2021-03-02",utla,E06000023,"Bristol, City of",29628,29
"2021-03-01",utla,E06000023,"Bristol, City of",29599,40
"2021-02-28",utla,E06000023,"Bristol, City of",29559,29
"2021-02-27",utla,E06000023,"Bristol, City of",29530,33
"2021-02-26",utla,E06000023,"Bristol, City of",29497,62
"2021-02-25",utla,E06000023,"Bristol, City of",29435,52
"2021-02-24",utla,E06000023,"Bristol, City of",29383,45
"2021-02-23",utla,E06000023,"Bristol, City of",29338,56
"2021-02-22",utla,E06000023,"Bristol, City of",29282,61
"2021-02-21",utla,E06000023,"Bristol, City of",29221,37
"2021-02-20",utla,E06000023,"Bristol, City of",29184,65
"2021-02-19",utla,E06000023,"Bristol, City of",29119,62
