areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2021-02-16,2817,4071185
overview,United Kingdom,K02000001,2021-02-15,11865,4068368
overview,United Kingdom,K02000001,2021-02-14,8470,4056503
overview,United Kingdom,K02000001,2021-02-13,8551,4048033
overview,United Kingdom,K02000001,2021-02-12,12119,4039482
overview,United Kingdom,K02000001,2021-02-11,12747,4027363
overview,United Kingdom,K02000001,2021-02-10,13487,4014616
overview,United Kingdom,K02000001,2021-02-09,13796,4001129
overview,United Kingdom,K02000001,2021-02-08,15770,3987333
overview,United Kingdom,K02000001,2021-02-07,11339,3971563
overview,United Kingdom,K02000001,2021-02-06,11907,3960224
overview,United Kingdom,K02000001,2021-02-05,15878,3948317
overview,United Kingdom,K02000001,2021-02-04,17980,3932439
overview,United Kingdom,K02000001,2021-02-03,19430,3914459
overview,United Kingdom,K02000001,2021-02-02,19760,3895029
overview,United Kingdom,K02000001,2021-02-01,22406,3875269
overview,United Kingdom,K02000001,2021-01-31,15433,3852863
overview,United Kingdom,K02000001,2021-01-30,16674,3837430
overview,United Kingdom,K02000001,2021-01-29,21809,3820756
overview,United Kingdom,K02000001,2021-01-28,24098,3798947
overview,United Kingdom,K02000001,2021-01-27,25725,3774849
overview,United Kingdom,K02000001,2021-01-26,27035,3749124
overview,United Kingdom,K02000001,2021-01-25,29986,3722089
overview,United Kingdom,K02000001,2021-01-24,17197,3692103
overview,United Kingdom,K02000001,2021-01-23,21855,3674906
overview,United Kingdom,K02000001,2021-01-22,29604,3653051
overview,United Kingdom,K02000001,2021-01-21,31713,3623447
overview,United Kingdom,K02000001,2021-01-20,35154,3591734
overview,United Kingdom,K02000001,2021-01-19,39535,3556580
overview,United Kingdom,K02000001,2021-01-18,44840,3517045
overview,United Kingdom,K02000001,2021-01-17,28869,3472205
overview,United Kingdom,K02000001,2021-01-16,30547,3443336
overview,United Kingdom,K02000001,2021-01-15,40432,3412789
